cellid	variable	value	type
25	0	0	Mut
25	5	2.38814370569724	Mut
25	10	4.77675320941179	Mut
25	15	6.48939141403883	Mut
25	20	6.37418173380712	Mut
25	25	5.97661694630306	Mut
25	30	5.66924763528154	Mut
25	35	5.47790145069931	Mut
25	40	5.19486596742717	Mut
25	45	4.86733883478621	Mut
25	50	4.45682496844576	Mut
25	55	4.24512527834058	Mut
25	60	4.00690427893824	Mut
25	65	3.70544570603648	Mut
25	70	3.63892031521703	Mut
25	75	3.76549405137422	Mut
25	80	3.86455836801365	Mut
25	85	3.90125677151384	Mut
25	90	3.93986271253871	Mut
25	95	3.81570536058242	Mut
25	100	3.70428083869194	Mut
25	105	3.7532223987934	Mut
25	110	3.98429376311691	Mut
25	115	4.12862399164946	Mut
25	120	4.22701790364233	Mut
25	125	4.24120691594242	Mut
25	130	4.1871723052329	Mut
25	135	4.1790291281746	Mut
25	140	4.20005573374288	Mut
25	145	4.15504895241479	Mut
25	150	4.06391152375351	Mut
25	155	3.99697007228993	Mut
25	160	3.91981105838444	Mut
25	165	3.82973004154503	Mut
25	170	3.90878244339688	Mut
25	175	4.09976549842139	Mut
25	180	4.2735819856961	Mut
25	185	4.31692952979486	Mut
25	190	4.35710977658872	Mut
25	195	4.45503362837065	Mut
25	200	4.37338941962238	Mut
25	205	4.14696817278808	Mut
25	210	3.92581926053455	Mut
25	215	3.77194100018717	Mut
25	220	3.66225002505356	Mut
25	225	3.73634632376484	Mut
25	230	3.85824743070819	Mut
25	235	3.83645456736143	Mut
25	0	0	WT
25	5	0.373166984923609	WT
25	10	6.1419085029668	WT
25	15	6.68013405477686	WT
25	20	6.80681857929573	WT
25	25	5.88795968966202	WT
25	30	6.63709049376807	WT
25	35	6.2870294520633	WT
25	40	4.74311415360666	WT
25	45	3.05175815148209	WT
25	50	1.66948401575825	WT
25	55	0.241836137703987	WT
25	60	0	WT
25	65	0	WT
25	70	0	WT
25	75	0	WT
25	80	0	WT
25	85	0	WT
25	90	0.221609297673966	WT
25	95	1.407086721458	WT
25	100	2.50802381912763	WT
25	105	3.76791476767847	WT
25	110	5.07620898047995	WT
25	115	5.07274727518427	WT
25	120	5.72250720107917	WT
25	125	5.51595946070586	WT
25	130	4.35106509554557	WT
25	135	3.28238068931166	WT
25	140	2.24153745750097	WT
25	145	1.148287034797	WT
25	150	0.312975607531944	WT
25	155	0.0426580415156692	WT
25	160	0	WT
25	165	0	WT
25	170	0	WT
25	175	0	WT
25	180	0	WT
25	185	0.00242700722099576	WT
25	190	0.535150225384037	WT
25	195	1.84680715890459	WT
25	200	2.75028835445546	WT
25	205	3.59187534869633	WT
25	210	4.34511147490082	WT
25	215	4.34568905602064	WT
25	220	4.21013679296818	WT
25	225	3.77055969995218	WT
25	230	3.58315145531628	WT
25	235	3.02803988585315	WT
